id,verb,auxiliary,participle,translation,level,createdAt,updatedAt,deletedAt
364,Rennen,sein,gerannt,Correr,B1.1,12/06/20,,
365,Verbieten,haben,verboten,Prohibir,B1.1,12/06/20,,
366,Auspacken,haben,ausgepäckt,Desenvolver / Desembalar,B1.1,12/06/20,,
367,Absagen,haben,abgesagt,Cancelar / Suspender,B1.1,12/06/20,,
368,Bitten,haben,gebeten,Pedir / Preguntar,B1.1,12/06/20,,
369,Erkundigen (sich),haben,sich erkundigt,Preguntar,B1.1,12/06/20,,
370,Gelingen,sein,gelungen,Tener éxito / salir bien,B1.1,12/06/20,,
371,Grüßen,haben,gegrüßt,Saludar,B1.1,12/06/20,,
372,Melden (sich),haben,sich gemeldet,Notificar / avisar / anunciar,B1.1,12/06/20,,
373,Vertreten,haben,vertreten,Representar / defender / Reemplazar,B1.1,12/06/20,,
374,Zusagen,haben,zugesagt,Prometer / aceptar invitación / dar su asentimiento,B1.1,12/06/20,,
375,Erkälten (sich),haben,sich erkältet,Resfriarse,B1.1,12/06/20,,
376,Folgen,sein,gefolgt,"Seguir, Suceder",B1.2,12/06/20,,
377,Missverstehen,haben,missverstanden,Malinterpretar,B1.2,12/06/20,,
378,Abfliegen,sein,abgeflogen,"Despegar, Sobrevolar",B1.2,12/06/20,,
379,Beißen,haben,gebissen,"Morder, Picar",B1.2,12/06/20,,
380,Besorgen,haben,besorgt,"Comprar, adquirir / Proporcionar",B1.2,12/06/20,,
381,Erschrecken,sein,erschrocken,Asustarse,B1.2,12/06/20,,
382,Entdecken,haben,entdeckt,Descubrir / Revelar,B1.2,12/06/20,,
383,Laden,haben,geladen,Cargar / Convidar,B1.2,12/06/20,,
384,Herunterladen,haben,Heruntergeladen,Descargar,B1.2,12/06/20,,
385,Hochladen,haben,Hochgeladen,Subir,B1.2,12/06/20,,
386,Zuhören,haben,zugehört,Escuchar,B1.2,12/06/20,,
387,Annehmen,haben,angenommen,Aceptar / Admitir,B1.2,12/06/20,,
388,Einstellen,haben,eingestellt,Ajustar / Colocar,B1.2,12/06/20,,
389,Entwickeln,haben,entwickelt,Desarrollar,B1.2,12/06/20,,
390,Übertragen,haben,übertragen,Transmitir / Encomendar / Transferir / Trasladar,B1.2,12/06/20,,
391,Veröffentlichen,haben,veröffentlicht,Publicar,B1.2,12/06/20,,
392,Anhaben,haben,angehabt,Llevar / Vestir,B1.2,12/06/20,,
393,Aufregen sich,haben,sich aufgeregt,Molestarse,B1.2,12/06/20,,
394,Ausgehen,sein,ausgegangen,Salir,B1.2,12/06/20,,
395,Begegnen,sein,begegnet,Topar con,B1.2,12/06/20,,
396,Entschlossen sein,sein,entschlossen gewesen,Ser determinado,B1.2,12/06/20,,
397,Gewöhnen an sich,haben,sich angewöhnt,Acostumbrarse a,B1.2,12/06/20,,
398,Küssen sich,haben,sich geküsst,Besarse,B1.2,12/06/20,,
399,Trennen sich,haben,sich getrennt,Desconectarse,B1.2,12/06/20,,
400,Anerkennen,haben,anerkannt,Reconocer,B1.2,12/06/20,,
401,Zerstören,haben,Zerstört,Destruir,B1.2,12/06/20,,
402,Ausstellen,haben,ausgestellt,Exponer,B1.2,12/06/20,,
403,Entstehen,sein,entstanden,Surgir,B1.2,12/06/20,,
404,Gründen,haben,gegründet,Fundar / Establecer,B1.2,12/06/20,,
405,Retten,haben,gerettet,Salvar / Rescatar,B1.2,12/06/20,,
406,Unterrichten,haben,unterrichtet,Enseñar,B1.2,12/06/20,,
407,Einsetzen fur (sich),haben,sich eingesetzt,Insertar,B1.2,12/06/20,,
408,Kämpfen gegen,haben,gekäpft,Luchar contra,B1.2,12/06/20,,
409,Verhaften,haben,verhaftet,Detener,B1.2,12/06/20,,
410,Einführen,haben,eingeführt,Introducir,B1.2,12/06/20,,
411,Handeln,haben,gehandelt,Negociar / Regatear / Proceder,B1.2,12/06/20,,
412,(An)Nähern sich,haben,sich (an)genähert,Acercarse,B1.2,12/06/20,,
413,Regieren,haben,regiert,Regir,B1.2,12/06/20,,
414,Verhindern,haben,verhindert,Evitar,B1.2,12/06/20,,
415,Aufheben,haben,aufgehoben,Cancelar / Abolir,B1.2,12/06/20,,
416,Betragen,haben,betragen,Ascender,B1.2,12/06/20,,
417,Blühen,haben,geblüht,Florecer / Prosperar,B1.2,12/06/20,,
418,Unterscheiden,haben,unterschieden,Distinguir,B1.2,12/06/20,,
419,Zunehmen,haben,zugenommen,Aumentar,B1.2,12/06/20,,
420,Sich ereignen,haben,sich ereignet,"Suceder, ocurrir",B1.2,12/06/20,,
421,Sich erholen,haben,sich erholt,Relajarse,B1.2,12/06/20,,
422,Zelten,haben,gezeltet,Acampar,B1.2,12/06/20,,
423,Darstellen,haben,dargestelt,Representar,B1.2,12/06/20,,
424,Heizen,haben,geheizt,Calentar,B1.2,12/06/20,,
425,Sich leisten,haben,sich geleistet,Lograr,B1.2,12/06/20,,
426,Treiben,haben,getrieben,Practicar un deporte,B1.2,12/06/20,,
427,Ausziehen,haben,ausgezogen,Sacar,B1.2,12/06/20,,
428,Siezen,haben,geziest,Tratar de usted,B1.2,12/06/20,,
429,Sorgen,haben,gesorgt,Preocuparse,B1.2,12/06/20,,
430,Treten,sein,getreten,Salir / Andar / Caminar,B1.2,12/06/20,,
431,Dienen,haben,gedient,Servir,B1.2,12/06/20,,
432,Gelten,haben,gegolten,Valer,B1.2,12/06/20,,
433,Regeln,haben,geregelt,Regular,B1.2,12/06/20,,
434,Verlangen,haben,verlangt,Pedir / Solicitar / Exigir,B1.2,12/06/20,,
435,Ausreichen,haben,ausgreicht,Bastar,B1.2,12/06/20,,
436,Bekannt geben,haben,bekkant gegeben,Anunciar,B1.2,12/06/20,,
437,(ein)Stecken,haben,(ein)gesteckt,Meter,B1.2,12/06/20,,
438,Klappen,haben,geklappt,Aplaudir,B1.2,12/06/20,,
439,Klingeln,haben,geklingelt,Tocar el timbre,B1.2,12/06/20,,
440,Umgehen,sein,umgegangen,Dar vueltas por los alrededores,B1.2,12/06/20,,
441,Fordern,haben,gefordet,Solicitar / Demandar,B1.2,12/06/20,,
442,Protestieren,haben,protestiert,Protestar,B1.2,12/06/20,,
443,Erscheinen,sein,erschienen,Aparecer / Surgir,B1.2,12/06/20,,
444,Loben,haben,gelobt,Elogiar,B1.2,12/06/20,,
445,Zwingen,haben,gezwungen,Obligar,B1.2,12/06/20,,
446,Konsumieren,haben,Konsumiert,Consumir,B1.2,12/06/20,,
447,Schützen,haben,geschützt,Proteger,B1.2,12/06/20,,
448,Verbessern,haben,verbessert,Mejorar,B1.2,12/06/20,,
449,Verbrauchen,haben,verbraucht,Gastar,B1.2,12/06/20,,
450,Verschlechtern sich,haben,verschlechtert,Deteriorar,B1.2,12/06/20,,
451,Bremsen,haben,gebremst,Frenar,B1.2,12/06/20,,
452,Abhängen von,haben,abgehangen,Depender de,B1.2,12/06/20,,
453,Bemühen sich,haben,bemüht,Esforzarse,B1.2,12/06/20,,
454,Feststehen,haben,festgestanden,Constar / Estar seguro,B1.2,12/06/20,,
455,Feststellen,haben,festgestellt,Verificar / Comprobar,B1.2,12/06/20,,
456,Vorziehen,haben,vorgezogen,Preferir,B1.2,12/06/20,,
457,Zustimmen,haben,zugestimmt,Estar de acuerdo / Adherir,B1.2,12/06/20,,
458,Beschließen,haben,Beschlossen,Concluir,B1.2,12/06/20,,
459,Erhöhen sich,haben,sich erhöht,Aumentar,B1.2,12/06/20,,
460,Klagen über,haben,geklagt,Quejarse,B1.2,12/06/20,,
461,Realisieren,haben,realisiert,Darse cuenta de,B1.2,12/06/20,,
462,Verändern sich,haben,verändert,Cambiar,B1.2,12/06/20,,
463,Vergrößern,haben,vergroßert,Agrandar,B1.2,12/06/20,,
464,Zweifeln,haben,gezweifelt,Dudar,B1.2,12/06/20,,
465,Anzünden,haben,angezündet,Encender (fuego),B1.2,12/06/20,,
466,Begründen,haben,begründet,Establecer / Fundar,B1.2,12/06/20,,
467,Abheben,haben,abgehoben,Restirarse / Alzar / Elevar,B1.2,12/06/20,,
468,Behandeln,haben,behandelt,Manejar,B1.2,12/06/20,,
469,Einzahlen,haben,eingezahlt,Ingresar / Imponer,B1.2,12/06/20,,
470,Mischen,haben,gemischt,Mezclar,B1.2,12/06/20,,
471,Nachschlagen,haben,nachgeschlagen,Buscar / Consultar / Salir,B1.2,12/06/20,,
472,Ordnen,haben,geordnet,Organizar,B1.2,12/06/20,,
473,Schweigen,haben,geschwiegen,Callarse,B1.2,12/06/20,,
474,Überweisen,haben,überwiesen,Transferir / Girar,B1.2,12/06/20,,
475,Verpflegen sich,haben,sich verpflegt,Abastecer / Alimentar,B1.2,12/06/20,,
476,Verteilen,haben,verteilt,Distribuir / Repartir,B1.2,12/06/20,,
477,Vorkommen sich,sein,vorgekommen,Pasar / Aparecer / Ocurrir,B1.2,12/06/20,,
478,Chatten,haben,gechattet,Charlar,B2.1,12/06/20,,
479,Checken,haben,gecheckt,Comprobar,B2.1,12/06/20,,
480,Markieren,haben,markiert,Marcar,B2.1,12/06/20,,
481,Skypen,haben,geskypt,Hacer Skype,B2.1,12/06/20,,
482,Twittern,haben,getwittert,Twittear,B2.1,12/06/20,,
483,Erhalten,haben,erhalten,Obtener / Recibir,B2.1,12/06/20,,
484,Einsetzen,haben,eingesetzt,Poner / Sustituir,B2.1,12/06/20,,
485,Schwerfallen,sein,schwergefallen,Costar,B2.1,12/06/20,,
486,Verbessern,haben,verbessert,Mejorar,B2.1,12/06/20,,
487,Ansehen,haben,angesehen,Contemplar / Examinar,B2.1,12/06/20,,
488,Berichten,haben,berichtet,Narrar / Informar,B2.1,12/06/20,,
489,Beschreiben,haben,beschrieben,Describir,B2.1,12/06/20,,
490,Ablehnen,haben,abgelehnt,Rechazar,B2.1,12/06/20,,
491,Annehmen,haben,angenommen,Aceptar / Admitir,B2.1,12/06/20,,
492,Bitten,haben,gebeten,Pedir / Preguntar,B2.1,12/06/20,,
493,Bedanken,haben,bedankt,Agradecer,B2.1,12/06/20,,
494,Denken,haben,gedacht,Pensar,B2.1,12/06/20,,
495,Einladen,haben,eingeladen,Invitar,B2.1,12/06/20,,
496,Folgen,sein,gefolgt,"Seguir, Suceder",B2.1,12/06/20,,
497,Fragen,haben,gefracht,Preguntar,B2.1,12/06/20,,
498,Freuen,haben,gefreut,Alegrarse,B2.1,12/06/20,,
499,Gratulieren,haben,gratuliert,Agradecer,B2.1,12/06/20,,
500,Nennen,haben,gennant,Nombrar / Denominar,B2.1,12/06/20,,
501,Stören,haben,gestört,Molestar,B2.1,12/06/20,,
502,Vorhaben,haben,vorgehabt,Proyectar / Planear,B2.1,12/06/20,,
503,Helfen,haben,geholfen,Ayudar,B2.1,12/06/20,,
504,Hoffen,haben,gehofft,Confiar / Esperar,B2.1,12/06/20,,
505,Kümmern,haben,gekümmert,Preocuparse,B2.1,12/06/20,,
506,Mitteilen,haben,mitgeteilt,Comunicar / Notificar,B2.1,12/06/20,,
507,Organisieren,haben,organisiert,Organizar,B2.1,12/06/20,,
508,Schicken,haben,geschickt,Enviar,B2.1,12/06/20,,
509,Schreiben,haben,geschrieben,Escribir,B2.1,12/06/20,,
510,Senden,haben,gesendet,Enviar,B2.1,12/06/20,,
511,Sorgen,haben,gesorgt,Preocuparse,B2.1,12/06/20,,
512,Suchen,haben,gesucht,Buscar ,B2.1,12/06/20,,
513,Überlegen,haben,überlegt,Reflexionar / Considerar / Deliberar,B2.1,12/06/20,,
514,Verabschieden (sich),haben,sich verabschiedet,Despedir,B2.1,12/06/20,,
515,Warten,haben,gewartet,Esperar,B2.1,12/06/20,,
516,Beschäftigen (sich),haben,sich beschäftigt,Ocupar / Emplear (trabajo),B2.1,12/06/20,,
517,Klappen,haben,geklappt,Aplaudir,B2.1,12/06/20,,
518,Begrüßen,haben,begrüßt,Saludar,B2.1,12/06/20,,
519,Melden,haben,gemeldet,Anunciar / Reportar,B2.1,12/06/20,,
520,Reagieren,haben,reagiert,Reaccionar,B2.1,12/06/20,,
521,Schieben,haben,geschoben,Empujar / Mover,B2.1,12/06/20,,
522,Verabreden (sich),haben,verabredet,Fijar / Convenir,B2.1,12/06/20,,
523,Besorgen,haben,besorgt,"Comprar, adquirir / Proporcionar",B2.1,12/06/20,,
524,Schaffen,haben,geschafft,Crear / Producir / Fundar,B2.1,12/06/20,,
525,Vorbereiten,haben,vorbereitet,Preparar,B2.1,12/06/20,,
526,Zusammenstellen,haben,zusammengestellt,Compilar / Componer / Reunir,B2.1,12/06/20,,
527,Erleben,haben,erlebt,Vivir (una experiencia de vida),B2.1,12/06/20,,
528,Recherchieren,haben,recherchiert,Investigar,B2.1,12/06/20,,
529,Gratulieren,haben,gratuliert,Felicitar,B2.1,12/06/20,,
530,Erfinden,haben,erfunden,Inventar,B2.1,12/06/20,,
531,Unterscheiden,haben,unterschieden,Diferenciar,B2.1,12/06/20,,
532,Entschließen (sich),haben,entschlossen,Decidirse,B2.1,12/06/20,,
533,Erholen,haben,erholt,Relajarse / Recuperarse,B2.1,12/06/20,,
534,Abmelden,haben,abgemeldet,Darse de baja / Finalizar sesión,B2.1,12/06/20,,
535,Vermuten,haben,vermutet,Suponer,B2.1,12/06/20,,
536,Verreisen,sein,verreist,Irse de viaje,B2.1,12/06/20,,
537,Garantieren,haben,garantiert,Garantizar,B2.1,12/06/20,,
538,Gelingen,sein,gelungen,Salir bien,B2.1,12/06/20,,
539,Beheizen,haben,beheizt,Calentar,B2.1,12/06/20,,
540,Erledigen,haben,erledigt,Ocuparse de / Llevar a cabo / Resolver,B2.1,12/06/20,,
541,Transportieren,haben,transportiert,Transportar,B2.1,12/06/20,,
542,Verändern,haben,verändert,Cambiar,B2.1,12/06/20,,
543,Verbinden,haben,verbunden,Unir / Juntar,B2.1,12/06/20,,
544,Führen,haben,geführt,Conducir / Guiar / Dirigir,B2.1,12/06/20,,
545,Verbringen,haben,verbracht,Dedicar / Pasar,B2.1,12/06/20,,
546,Funktionieren,haben,funktioniert,Funcionar,B2.1,12/06/20,,
547,Verstecken,haben,versteckt,Esconder,B2.1,12/06/20,,
548,Verteilen,haben,verteilt,Repartir / Distribuir,B2.1,12/06/20,,
549,Raten,haben,geraten,Aconsejar / Adivinar,B2.1,12/06/20,,
550,Konzentrieren,haben,Konzentriert,Concentrar,B2.1,12/06/20,,
551,Analysieren,haben,analysiert,Analizar,B2.1,12/06/20,,
552,Erwarten,haben,erwartet,Esperar,B2.1,12/06/20,,
553,Finanzieren,haben,finanziert,Financiar,B2.1,12/06/20,,
554,Herrschen,haben,geherrscht,Reinar,B2.1,12/06/20,,
555,Reinigen,haben,gereinigt,Limpiar,B2.1,12/06/20,,
556,Übernehmen,haben,übernommen,Tomar / Apoderar / Asumir,B2.1,12/06/20,,
557,sich kurzfassen,haben,kurzgefasst,Ser breve,B2.2,12/06/20,,
558,sich gewöhnen an,haben,gewöhnt,Acostumbrarse a,B2.2,12/06/20,,
559,Lächeln,haben,gelächelt,Sonreir,B2.2,12/06/20,,
560,überprüfen,haben,überprüft,Comprobar / Examinar,B2.2,12/06/20,,
561,sich bewerben um,haben,beworben,Solicitar / Aplicar a,B2.2,12/06/20,,
562,Kündigen,haben,gekündigt,Rescindir,B2.2,12/06/20,,
563,Operieren,haben,operiert,Funcionar / Operar Quirurgicamente,B2.2,12/06/20,,
564,Einstellen,haben,eingestellt,Contratar,B2.2,12/06/20,,
565,Entlassen,haben,entlassen,Despedir (laboralmente),B2.2,12/06/20,,
566,Streiken,haben,gestreikt,Hacer huelga,B2.2,12/06/20,,
567,Anstrengen (sich),haben,angestrengt,Fatigarse / Esforzarse,B2.2,12/06/20,,
568,Verwenden,haben,verwandt,Aprovechar / Usar,B2.2,12/06/20,,
569,Planen,haben,geplant,Planear,B2.2,12/06/20,,
570,Lohnen (sich),haben,gelohnt,Valer,B2.2,12/06/20,,
571,Beeinflussen,haben,beeinflusst,Influenciar,B2.2,12/06/20,,
572,Begründen,haben,begründet,Establecer / Fundamentar,B2.2,12/06/20,,
573,Darstellen,haben,dargestellt,Representar / Presentar / Exponer,B2.2,12/06/20,,
574,Entwickeln,haben,entwickelt,Desarrollar,B2.2,12/06/20,,
575,Unterstützen,haben,untergestützt,Apoyar,B2.2,12/06/20,,
576,Mischen,haben,gemischt,Mezclar,B2.2,12/06/20,,
577,Kopieren,haben,Kopiert,Copiar,B2.2,12/06/20,,
578,Umtauschen,haben,umgetauscht,Canjear / cambiar,B2.2,12/06/20,,
579,Ehren,haben,geehert,Respetar / Homenajear,B2.2,12/06/20,,
580,Gehören,haben,gehört,Pertenecer,B2.2,12/06/20,,
581,Handeln,haben,gehandelt,Negociar,B2.2,12/06/20,,
582,Landen,sein,gelandet,Llegar / Atracar,B2.2,12/06/20,,
583,Verbrauchen,haben,verbraucht,Consumir / Gastar,B2.2,12/06/20,,
584,Zählen zu,haben,gezählt,Recontar,B2.2,12/06/20,,
585,Bedienen,haben,bedient,Hacer funcionar / manejar,B2.2,12/06/20,,
586,Überreden,haben,überredet,Persuadir,B2.2,12/06/20,,
587,Werfen,haben,geworfen,Tirar / Lanzar / Arrojar,B2.2,12/06/20,,
588,Bieten,haben,geboten,Ofrecer,B2.2,12/06/20,,
589,Verlangen,haben,verlangt,Pedir / Solicitar,B2.2,12/06/20,,
590,Aussuchen,haben,ausgesucht,Seleccionar / Entresacar,B2.2,12/06/20,,
591,Kredit aufnehmen,haben,aufgennomen,Tomar un crédito,B2.2,12/06/20,,
592,Hassen,haben,gehasst,Odiar,B2.2,12/06/20,,
593,Sparen,haben,gespart,Ahorrar,B2.2,12/06/20,,
594,Überweisen,haben,überwiesen,Transferir dinero,B2.2,12/06/20,,
595,Überziehen,haben,überzogen,Recubrir,B2.2,12/06/20,,
596,Rasieren,haben,rasiert,Afeitar,B2.2,12/06/20,,
597,Zusammenfassen,haben,zusammengefasst,Resumir / Concertar,B2.2,12/06/20,,
598,Wundern über,haben,gewundert,Preguntarse,B2.2,12/06/20,,
599,Infrage Kommen,sein,gekommen,Venir al caso,B2.2,12/06/20,,
600,Betreuen,haben,betreut,Cuidar / Socorrer / Atender,B2.2,12/06/20,,
601,Bewegen,haben,bewogen,Mover,B2.2,12/06/20,,
602,Entdecken,haben,entdeckt,Descubrir / Revelar,B2.2,12/06/20,,
603,Erfahren,haben,erfahren,Aprender / Enterarse,B2.2,12/06/20,,
604,Pflegen,haben,gepflogen,Cuidar,B2.2,12/06/20,,
605,Tippen,haben,getippt,Teclear,B2.2,12/06/20,,
606,Trainieren,haben,trainiert,Entrenar,B2.2,12/06/20,,
607,Wachsen,sein,gewachsen,Crecer,B2.2,12/06/20,,
608,Erkundigen nach,haben,erkundigt,Preguntar,B2.2,12/06/20,,
609,Sich Leisten,haben,mich geleistet,Realizar,B2.2,12/06/20,,
610,rechnen mit,haben,gerechnet,Contar con,B2.2,12/06/20,,
611,sich drehen,haben,gedreht,Girar / Dar vueltas,B2.2,12/06/20,,
612,Einschalten,haben,eingeschaltet,Encender,B2.2,12/06/20,,
613,Stoppen,haben,gestoppt,Parar,B2.2,12/06/20,,
614,Teilen,sein,geteilt,Fraccionar / Repartir / Distribuir,B2.2,12/06/20,,
615,Klicken,haben,geklickt,Hacer clicl,B2.2,12/06/20,,
616,Brennen,haben,gebrannt,Quemar,B2.2,12/06/20,,
617,Anschließen,haben,angeschlossen,Conectar,B2.2,12/06/20,,
618,Aufnehmen,haben,aufgennomen,Registrar / Anotar / Asimilar,B2.2,12/06/20,,
619,Löschen,haben,gelöscht,Borrar / Apagar / Extinguir,B2.2,12/06/20,,
620,Speichern,haben,gespeichert,Guardar,B2.2,12/06/20,,
621,Vergrößern,haben,vergrößert,Agrandar,B2.2,12/06/20,,
622,Erreichen,haben,erreicht,Alcanzar / Llegar,B2.2,12/06/20,,
623,Nachdenken,haben,nachgedacht,Reflexionar,B2.2,12/06/20,,
624,Entwerfen,haben,entworfen,Diseñar / Esbozar / Proyectar,B2.3,12/06/20,,
625,Kommentieren,haben,Kommentiert,Comentar,B2.3,12/06/20,,
626,Anvertrauen,haben,anvertraut,Confiar / encomendar,B2.3,12/06/20,,
627,Verlassen,haben,verlassen,Dejar / Abandonar,B2.3,12/06/20,,
628,Verlieren,haben,verloren,Perder,B2.3,12/06/20,,
629,Erläutern,haben,erläutert,Explicar,B2.3,12/06/20,,
630,Forschen,haben,geforscht,Investigar,B2.3,12/06/20,,
631,Knüpfen,haben,geknüpft,Enlazar,B2.3,12/06/20,,
632,Erfüllen,haben,erfüllt,Cumplir / llenar / colmar,B2.3,12/06/20,,
633,Hinterlassen,haben,hinterlassen,Dejar / legar,B2.3,12/06/20,,
634,Sich spezialisieren,haben,mich spezialisiert,Especializarse,B2.3,12/06/20,,
635,Halten,haben,gehalten,Mantener,B2.3,12/06/20,,
636,Vertreiben,haben,vertrieben,Desterrar,B2.3,12/06/20,,
637,Aufladen,haben,aufgeladen,Recargar / Colmar,B2.3,12/06/20,,
638,Erwähnen,haben,erwähnt,Mencionar,B2.3,12/06/20,,
639,Naschen,haben,genascht,Comer golosinas / mordisquear,B2.3,12/06/20,,
640,Durchsetzen,haben,durchgesetzt,Conseguir / Realizar,B2.3,12/06/20,,
641,Spüren,haben,gespürt,Sentir,B2.3,12/06/20,,
642,Befassen,haben,befasst,Ocuparse de algo,B2.3,12/06/20,,
643,Pendeln,sein,gependelt,Oscilar,B2.3,12/06/20,,
644,Animieren Zu,haben,animiert,Animarse a ,B2.3,12/06/20,,
645,Beurteilen,sein,bauerteilt,Dictaminar / Enjuiciar / Criticar,B2.3,12/06/20,,
646,Quatschen,haben,gequatscht,Parlotear,B2.3,12/06/20,,
647,Anrühren,haben,angerührt,Mezclar,B2.3,12/06/20,,
648,Imitieren,haben,imitiert,Imitar,B2.3,12/06/20,,
649,Überarbeiten,haben,überarbeitet,Revisar / Perfeccionar,B2.3,12/06/20,,
650,Umschreiben,haben,umgeschrieben,Transcribir,B2.3,12/06/20,,
651,sich abheben von,haben,abgehoben,Sobresalir / Contrastar,B2.3,12/06/20,,
652,Anschaffen,haben,angeschaffen,Comprar / Adquirir,B2.3,12/06/20,,
653,Dahinterstecken,haben,dahintergesteckt,Estar detrás de algo (en sentido figurado),B2.3,12/06/20,,
654,Starren,haben,gestarrt,Mirar fijamente,B2.3,12/06/20,,
655,Verfolgen,sein,verfolgt,Perseguir,B2.3,12/06/20,,
656,Erläutern,haben,erläutert,Explicar,B2.3,12/06/20,,
657,Ansprechen,haben,angesprochen,Dirigir la palabra,B2.3,12/06/20,,
658,Unternehmen,haben,unternommen,Emprender / Realizar,B2.3,12/06/20,,
659,Vorgehen,sein,vorgegangen,Proceder / tomar la delantera,B2.3,12/06/20,,
660,Anwenden,haben,angewendet,Utilizar / Aplicar en,B2.3,12/06/20,,
661,Erwerben,haben,erworben,Adquirir,B2.3,12/06/20,,
662,Absagen,haben,abgesagt,Rechazar / Cancelar,B2.3,12/06/20,,
663,Zusagen,haben,zugesagt,Prometer,B2.3,12/06/20,,
664,Aufführen,haben,aufgeführt,Incluir / Mencionar,B2.3,12/06/20,,
665,Beifügen,haben,beigefügt,Añadir / Encerrar,B2.3,12/06/20,,
666,Bewerten,haben,bewertet,Evaluar / Apreciar / Estimar,B2.3,12/06/20,,
667,Sich beschränken auf,haben,beschränkt,Limitarse a …,B2.3,12/06/20,,
668,Durchblättern,haben,durchgeblättert,Hojear,B2.3,12/06/20,,
669,Irritieren,haben,irritiert,Irritar,B2.3,12/06/20,,
670,Sein Lassen,haben,sein gelassen,Dejar ser,B2.3,12/06/20,,
671,Staunen über,haben,gestaunt,Maravillarse con,B2.3,12/06/20,,
672,Stylen,haben,gestylt,Estilar,B2.3,12/06/20,,
673,Vorführen,haben,vorgeführt,Presentar / Exhibir,B2.3,12/06/20,,
674,Vorschreiben,haben,vorgeschrieben,Prescribir,B2.3,12/06/20,,
675,Verzichten aus,haben,verzichtet,Renunciar,B2.3,12/06/20,,
676,Zustimmen,haben,zugestimmt,Adherir,B2.3,12/06/20,,
677,Prägen,haben,geprägt,Troquelar,B2.3,12/06/20,,
678,Stammen aus,haben,gestammt,Ser de…,B2.3,12/06/20,,
679,Abraten von,haben,abgeraten,Desaconsejar,B2.3,12/06/20,,
680,Sich engagieren für,haben,engagiert,Participar,B2.3,12/06/20,,
681,Färben,haben,gefärbt,Colorear,B2.3,12/06/20,,
682,Lackieren,haben,lackiert,Barnizar,B2.3,12/06/20,,
683,Plädieren für,haben,plädiert,Abogar por,B2.3,12/06/20,,
684,Übertrieben,haben,übertrieben,Exagerar,B2.3,12/06/20,,
685,Berühren,haben,berührt,Tocar / Rozar,B2.3,12/06/20,,
686,Kratzen,haben,gekratzt,Rascar / Arañar,B2.3,12/06/20,,
687,Kreisen,sein,gekreist,Girar,B2.3,12/06/20,,
688,Rutschen,sein,gerutscht,Deslizar,B2.3,12/06/20,,
689,Verschränken,haben,verschränkt,Plegar,B2.3,12/06/20,,
690,Sich Vorbeugen,haben,vorgebeugt,Deslizarse hacia adelante,B2.3,12/06/20,,
691,Ausprobieren,haben,ausprobiert,Ensayar / Probar,B2.3,12/06/20,,
692,Hüpfen,sein,gehüpft,Rebotar / Brincar,B2.3,12/06/20,,
693,Klatschen,sein,geklatscht,Tirar violentamente,B2.3,12/06/20,,
694,Schütteln,haben,geschüttelt,Sacudir,B2.3,12/06/20,,
695,Herausfiltern,haben,herausgefiltert,Entresacar,B2.3,12/06/20,,
696,Sich Verfahren,haben,verfahren,Perderse,B2.3,12/06/20,,
697,Flanieren,haben,flaniert,Pasear,B2.3,12/06/20,,
698,Vereinen,haben,vereint,Unir / Conciliar,B2.3,12/06/20,,
699,Auffrischen,haben,ausgefrischt,Repasar,B2.3,12/06/20,,
700,Austauschen,haben,ausgetauscht,Intercambiar / Sustituir,B2.3,12/06/20,,
701,Sanieren,haben,saniert,Renovar / Reorganizar,B2.3,12/06/20,,
702,Tauschen,haben,getauscht,Intercambiar / Canjear,B2.3,12/06/20,,
703,Sich wandeln,haben,gewandelt,Variar,B2.3,12/06/20,,
704,Erschließen,haben,erschlossen,Explotar / Alumbrar / Urbanizar / Inferir,B2.3,12/06/20,,
705,Versorgen,haben,versorgt,Abastecer / Proveer,B2.3,12/06/20,,
706,Voraussagen,haben,vorausgesagt,Predecir,B2.3,12/06/20,,
707,Entkräften,haben,entkräftet,Debilitar / Invalidar,B2.3,12/06/20,,
708,Sich einigen,haben,geeinigt,Convenir,B2.3,12/06/20,,
709,Akzeptieren,haben,akzeptiert,Aceptar,B2.4,12/06/20,,
710,Abnehmen,haben,abgenommen,Disminuir / Declinar,B2.4,12/06/20,,
711,Sich Erhönen,haben,onnt,Reponerse,B2.4,12/06/20,,
712,Sinken,haben,Gesunken,Hundirse / Caer,B2.4,12/06/20,,
713,Stagnieren,haben,stagniert,Estancarse,B2.4,12/06/20,,
714,Steigen,sein,gestiegen,Subir / Alzarse / Ascender,B2.4,12/06/20,,
715,Verringern,haben,verringert,Disminuir / Aminorar,B2.4,12/06/20,,
716,Zunehmen,haben,zugenommen,Aumentar / Acrecentar,B2.4,12/06/20,,
717,Eilen,sein,geeilt,Apurarse,B2.4,12/06/20,,
718,Fixieren,haben,fixiert,Arreglar / Fijar,B2.4,12/06/20,,
719,Überhören,haben,überhört,"Pasar por alto / ""Hacerse el sordo""",B2.4,12/06/20,,
720,Befristen,haben,befristet,Fijar un plazo / Limitar,B2.4,12/06/20,,
721,Schelten,haben,gescholten,Reprender / Regañar,B2.4,12/06/20,,
722,Umgehen,sein,umgegangen,Andar / Manejar / Sortear,B2.4,12/06/20,,
723,Entfremden,haben,entfremdet,Alinear / Enajenar / Extrañar,B2.4,12/06/20,,
724,Erfordern,haben,erfordert,Exigir,B2.4,12/06/20,,
