id,noun,article,plural,translation,niveau,level,createdAt,updatedAt,deletedAt
363,Sängerin,Die,Sängerinen,Cantante (femenina),A1.2,beginner,12/06/20,,
364,Europa,Das,Europa,Europa,A1.2,beginner,12/06/20,,
365,Führerschein,Der,Führerscheine,Licencia de conducir,A1.2,beginner,12/06/20,,
366,Instrument,Das,Instrumente,Instrumento,A1.2,beginner,12/06/20,,
367,Kreditkarte,Die,Kreditkarten,Tarjeta de crédito,A1.2,beginner,12/06/20,,
368,Lied,Das,Lieder,Canción,A1.2,beginner,12/06/20,,
369,Motorrad,Das,Motorräder,Motocicleta,A1.2,beginner,12/06/20,,
370,Welt,Die,Welt,Mundo,A1.2,beginner,12/06/20,,
371,Wunsch,Der,Wünsche,Deseo,A1.2,beginner,12/06/20,,
372,Star,Der,Stars,Estrella,A1.2,beginner,12/06/20,,
373,Apotheke,Die,Apotheken,Farmacia,A1.2,beginner,12/06/20,,
374,Doktor,Der,Doktoren,Doctor,A1.2,beginner,12/06/20,,
375,Fieber,Das,Fieber,Fiebre,A1.2,beginner,12/06/20,,
376,Husten,Der,Husten,Tos,A1.2,beginner,12/06/20,,
377,Medikament,Das,Medikamente,Medicamento,A1.2,beginner,12/06/20,,
378,Medizin,Die,Medizin,Medicina,A1.2,beginner,12/06/20,,
379,Pflaster,Das,Pflaster,Pavimento,A1.2,beginner,12/06/20,,
380,Praxis,Die,Praxen,Consultorio / Consulta,A1.2,beginner,12/06/20,,
381,Salbe,Die,Salben,Ungüento,A1.2,beginner,12/06/20,,
382,Schmerz,Der,Schmerzen,Dolor,A1.2,beginner,12/06/20,,
383,Schnupfen,Der,Schnupfen,Resfriado,A1.2,beginner,12/06/20,,
384,Tablette,Die,Tabletten,Comprimido / Pastilla,A1.2,beginner,12/06/20,,
385,Arm,Der,Arme,Brazo,A1.2,beginner,12/06/20,,
386,Auge,Das,Augen,Ojo,A1.2,beginner,12/06/20,,
387,Bauch,Der,Bäuche,Barriga,A1.2,beginner,12/06/20,,
388,Bein,Das,Beine,Pierna,A1.2,beginner,12/06/20,,
389,Brust,Die,Brüste,Pecho,A1.2,beginner,12/06/20,,
390,Finger,Die,Finger,Dedo,A1.2,beginner,12/06/20,,
391,Hals,Der,Hälse,Cuello,A1.2,beginner,12/06/20,,
392,Hand,Die,Hände,Mano,A1.2,beginner,12/06/20,,
393,Knie,Das,Knie,Rodilla,A1.2,beginner,12/06/20,,
394,Kopf,Der,Köpfe,Cabeza,A1.2,beginner,12/06/20,,
395,Nase,Die,Nasen,Nariz,A1.2,beginner,12/06/20,,
396,Mund,Der,Münder,Boca,A1.2,beginner,12/06/20,,
397,Ohr,Das,Ohren,Oreja,A1.2,beginner,12/06/20,,
398,Rücken,Der,Rücken,Espalda,A1.2,beginner,12/06/20,,
399,Zahn,Der,Zähne,Diente,A1.2,beginner,12/06/20,,
400,Bart,Der,Bärte,Barba,A1.2,beginner,12/06/20,,
401,Haar,Das,Haare,Cabello,A1.2,beginner,12/06/20,,
402,Bäckerei,Die,Bäckereien,Panadería,A1.2,beginner,12/06/20,,
403,Hausfrau,Die,Hausfrauen,Ama de casa,A1.2,beginner,12/06/20,,
404,Abfall,Der,Abfälle,Pendiente,A1.2,beginner,12/06/20,,
405,Boden,Der,Böden,Suelo,A1.2,beginner,12/06/20,,
406,Geschirr,Das,Geschirr,Vasija,A1.2,beginner,12/06/20,,
407,Haushalt,Der,Haushalt,Casa / Presupuesto,A1.2,beginner,12/06/20,,
408,Ordnung,Die,Ordnung,Orden,A1.2,beginner,12/06/20,,
409,Spülmaschine,Die,Spülmachinen,Lavavajillas,A1.2,beginner,12/06/20,,
410,Wäsche,Die,Wäsche,Lavanderia,A1.2,beginner,12/06/20,,
411,Anruf,Der,Anrufe,Llamada,A1.2,beginner,12/06/20,,
412,Anrufbeanworter,Der,Anrufbeanworter,Contestador Automático,A1.2,beginner,12/06/20,,
413,Antwort,Die,Antworten,Respuesta,A1.2,beginner,12/06/20,,
414,Brief,Der,Briefe,Carta,A1.2,beginner,12/06/20,,
415,Grösse,Die,Grössen,Tamaño / Magnitud / Capacidad,A1.2,beginner,12/06/20,,
416,Fahrer,Der,Fahrer,Conductor,A1.2,beginner,12/06/20,,
417,Regel,Die,Regeln,Regla,A1.2,beginner,12/06/20,,
418,Schild,Das,Schilder,Escudo,A1.2,beginner,12/06/20,,
419,Verkehr,Der,Verkehr,Tráfico,A1.2,beginner,12/06/20,,
420,Wiese,Die,Wiesen,Pradera,A1.2,beginner,12/06/20,,
421,Beispiel,Das,Beispiele,Ejemplo,A1.2,beginner,12/06/20,,
422,Hund,Der,Hunde,Perro,A1.2,beginner,12/06/20,,
423,Haus,Das,Häuser,Casa,A1.2,beginner,12/06/20,,
424,Picknick,Das,Picknicke,Picnic,A1.2,beginner,12/06/20,,
425,Helm,Der,Helme,Casco,A1.2,beginner,12/06/20,,
426,Kleidung,Die,Kleidung,Ropa,A1.2,beginner,12/06/20,,
427,Bluse,Die,Blusen,Blusa,A1.2,beginner,12/06/20,,
428,Jacke,Die,Jacken,Campera,A1.2,beginner,12/06/20,,
429,Gürtel,Der,Gürtel,Cinturón,A1.2,beginner,12/06/20,,
430,Hemd,Das,Hemden,Camisa,A1.2,beginner,12/06/20,,
431,Hose,Die,Hosen,Pantalón,A1.2,beginner,12/06/20,,
432,Hut,Der,Hüte,Sombrero,A1.2,beginner,12/06/20,,
433,Kleid,Das,Kleider,Vestido,A1.2,beginner,12/06/20,,
434,Mantel,Der,Mäntel,Tapado,A1.2,beginner,12/06/20,,
435,Mütze,Die,Mützen,Gorro,A1.2,beginner,12/06/20,,
436,Pullover,Der,Pullover,Pullover,A1.2,beginner,12/06/20,,
437,Rock,Der,Röcke,Pollera,A1.2,beginner,12/06/20,,
438,Schuh,Der,Schuhe,Zapato,A1.2,beginner,12/06/20,,
439,Strumpf,Der,Strümpfe,Media,A1.2,beginner,12/06/20,,
440,Strumpfhose,Die,Strumpfhose,Pantimedia,A1.2,beginner,12/06/20,,
441,T-shirt,Das,T-Shirts,Remera,A1.2,beginner,12/06/20,,
442,Text,Der,Texte,Texto,A1.2,beginner,12/06/20,,
443,Gewitter,Das,Gewitter,Tormenta,A1.2,beginner,12/06/20,,
444,Grad,Das,Grade,Grado,A1.2,beginner,12/06/20,,
445,Nebel,Der,Nebel,Niebla,A1.2,beginner,12/06/20,,
446,Regen,Der,Regen,Lluvia,A1.2,beginner,12/06/20,,
447,Schnee,Der,Schnee,Nieve,A1.2,beginner,12/06/20,,
448,Sonne,Die,Sonnen,Sol,A1.2,beginner,12/06/20,,
449,Sturm,Der,Stürme,Tormenta,A1.2,beginner,12/06/20,,
450,Wind,Der,Winde,Viento,A1.2,beginner,12/06/20,,
451,Wolke,Die,Wolken,Nube,A1.2,beginner,12/06/20,,
452,Himmelsrichtung,Die,Himmelsrichtungen,Dirección,A1.2,beginner,12/06/20,,
453,Norden,Der,Norden,Norte,A1.2,beginner,12/06/20,,
454,Süden,Der,Süden,Sur,A1.2,beginner,12/06/20,,
455,Osten,Der,Osten,Este,A1.2,beginner,12/06/20,,
456,Westen,Der,Westen,Oeste,A1.2,beginner,12/06/20,,
457,Dach,Das,Dächer,Tejado,A1.2,beginner,12/06/20,,
458,Früjahr,Das,Früjahre,Primavera,A1.2,beginner,12/06/20,,
459,Glas,Das,Gläser,Vidrio,A1.2,beginner,12/06/20,,
460,Glück,Das,Glück,Felicidad,A1.2,beginner,12/06/20,,
461,Himmel,Der,Himmel,Cielo,A1.2,beginner,12/06/20,,
462,Laune,Die,Launen,Humor / Antojo,A1.2,beginner,12/06/20,,
463,Reiseführer,Der,Reiseführer,Guía,A1.2,beginner,12/06/20,,
464,Traum,Der,Träume,Sueño,A1.2,beginner,12/06/20,,
465,Fest,Das,Feste,Fiesta,A1.2,beginner,12/06/20,,
466,Feier,Die,Feiern,Celebración,A1.2,beginner,12/06/20,,
467,Ostern,Das,Ostern,Pascua,A1.2,beginner,12/06/20,,
468,Weinachten,Das,Weinachten,Navidad,A1.2,beginner,12/06/20,,
469,Glückwunsch,Der,Glückwünsche,Felicitación,A1.2,beginner,12/06/20,,
470,Bekkante,Der,Bekkanten,Conocido,A1.2,beginner,12/06/20,,
471,CD,Die,CDs,CD,A1.2,beginner,12/06/20,,
472,Getränk,Das,Getränke,Bebida,A1.2,beginner,12/06/20,,
473,Ticket,Das,Tickets,Ticket,A1.2,beginner,12/06/20,,
474,Reise,Die,Reisen,Viaje,A1.2,beginner,12/06/20,,
475,Verwandte,Der,Verwandten,Pariente,A1.2,beginner,12/06/20,,
476,Cousin,Der,Cousins,Primo,A2.1,beginner,12/06/20,,
477,Cousine,Die,Cousinen,Prima,A2.1,beginner,12/06/20,,
478,Neffe,Der,Neffen,Sobrino,A2.1,beginner,12/06/20,,
479,Nichte,Die,Nichten,Sobrina,A2.1,beginner,12/06/20,,
480,Onkel,Der,Onkel,Tío,A2.1,beginner,12/06/20,,
481,Tante,Die,Tanten,Tía,A2.1,beginner,12/06/20,,
482,Geschichte,Die,Geschichten,Historia / Cuento,A2.1,beginner,12/06/20,,
483,Jugendliche,Die,Jugendlichen,Juventud,A2.1,beginner,12/06/20,,
484,Puppe,Die,Puppen,Muñeca,A2.1,beginner,12/06/20,,
485,Sache,Die,Sachen,Cosa,A2.1,beginner,12/06/20,,
486,Spiel,Das,Spiele,Juego,A2.1,beginner,12/06/20,,
487,Witz,Der,Witze,Chiste,A2.1,beginner,12/06/20,,
488,Anfang,Der,Anfänge,Comienzo,A2.1,beginner,12/06/20,,
489,Ende,Das,Enden,Final,A2.1,beginner,12/06/20,,
490,Mannschaft,Die,Mannschaften,Equipo,A2.1,beginner,12/06/20,,
491,Pfeffer,Der,Pfeffer,Pimienta,A2.1,beginner,12/06/20,,
492,Punkt,Der,Punkte,Punto,A2.1,beginner,12/06/20,,
493,Satz,Der,Sätze,Oración,A2.1,beginner,12/06/20,,
494,Schluss,Der,Schluss,Cierre / Fin,A2.1,beginner,12/06/20,,
495,Stadium,Das,Stadium,Fase / Estadio,A2.1,beginner,12/06/20,,
496,Zigarrete,Die,Zigarreten,Cigarrillo,A2.1,beginner,12/06/20,,
497,Ding,Das,Dinge,Cosa,A2.1,beginner,12/06/20,,
498,Ecke,Die,Ecken,Esquina,A2.1,beginner,12/06/20,,
499,Fernsehgerät,Das,Fernsegerähte,Televisor,A2.1,beginner,12/06/20,,
500,Gegenstand,Der,Gegenstände,Sujeto / Objeto / Asunto,A2.1,beginner,12/06/20,,
501,Herd,Der,Herde,Estufa / Cocina,A2.1,beginner,12/06/20,,
502,Kissen,Das,Kissen,Almoahada,A2.1,beginner,12/06/20,,
503,Raum,Der,Räume,Habitación,A2.1,beginner,12/06/20,,
504,Regal,Das,Regale,Estante,A2.1,beginner,12/06/20,,
505,Schreibtische,Der,Schreibtische,Escritorio,A2.1,beginner,12/06/20,,
506,Spiegel,Der,Spiegel,Espejo,A2.1,beginner,12/06/20,,
507,Tür,Die,Türen,Puerta,A2.1,beginner,12/06/20,,
508,Vorhang,Der,Vorhänge,Cortina,A2.1,beginner,12/06/20,,
509,Wand,Die,Wände,Pared,A2.1,beginner,12/06/20,,
510,Werkzeug,Das,Werkzeuge,Herramienta,A2.1,beginner,12/06/20,,
511,Heft,Das,Hefte,Mango / Empuñadura,A2.1,beginner,12/06/20,,
512,Dorf,Das,Dörfer,Pueblo,A2.1,beginner,12/06/20,,
513,Katze,Die,Katzen,Gato,A2.1,beginner,12/06/20,,
514,Pflanze,Die,Pflanzen,Plantas,A2.1,beginner,12/06/20,,
515,Luft,Die,Luft,Aire,A2.1,beginner,12/06/20,,
516,Ruhe,Die,Ruhe,Tranquilidad,A2.1,beginner,12/06/20,,
517,Strand,Der,Strände,Playa,A2.1,beginner,12/06/20,,
518,Tier,Das,Tiere,Animal,A2.1,beginner,12/06/20,,
519,Ufer,Das,Ufer,Orilla,A2.1,beginner,12/06/20,,
520,Vogel,Der,Vögel,Pájaro,A2.1,beginner,12/06/20,,
521,Beratung,Die,Beratungen,Consulta,A2.1,beginner,12/06/20,,
522,Erfahrung,Die,Erfahrungen,Experiencia,A2.1,beginner,12/06/20,,
523,Fahrt,Die,Fahrten,Paseo,A2.1,beginner,12/06/20,,
524,Gruppe,Die,Gruppen,Grupo,A2.1,beginner,12/06/20,,
525,Karte,Die,Karten,Mapa,A2.1,beginner,12/06/20,,
526,Service,Der,Services,Servicio,A2.1,beginner,12/06/20,,
527,Trend,Der,Trends,Tendecia,A2.1,beginner,12/06/20,,
528,Unterricht,Der,Unterricht,Clase,A2.1,beginner,12/06/20,,
529,Mode,Die,Moden,Moda,A2.1,beginner,12/06/20,,
530,Banane,Die,Bananen,Banana,A2.1,beginner,12/06/20,,
531,Birne,Die,Birnen,Pera,A2.1,beginner,12/06/20,,
532,Bohne,Die,Bohnen,Grano,A2.1,beginner,12/06/20,,
533,Bonbon,Der,Bonbon,Caramelo,A2.1,beginner,12/06/20,,
534,Cola,Das,Cola,Cola (bebida),A2.1,beginner,12/06/20,,
535,Gemüse,Das,Gemüse,Verdura,A2.1,beginner,12/06/20,,
536,Getränk,Das,Getränke,bebida,A2.1,beginner,12/06/20,,
537,Mermelade,Die,Mermeladen,Mermelada,A2.1,beginner,12/06/20,,
538,Mehl,Das,Mehl,Harina,A2.1,beginner,12/06/20,,
539,Quark,Der,Quark,Queso untable,A2.1,beginner,12/06/20,,
540,Topfen,Der,Topfen,Queso fresco,A2.1,beginner,12/06/20,,
541,Saft,Der,Säfte,Jugo,A2.1,beginner,12/06/20,,
542,Dose,Die,Dosen,Lata,A2.1,beginner,12/06/20,,
543,Gramm,Das,Gramme,Gramo,A2.1,beginner,12/06/20,,
544,Kilo,Das,Kilos,kilo,A2.1,beginner,12/06/20,,
545,Liter,Der,Liter,Litros,A2.1,beginner,12/06/20,,
546,Packung,Die,Packungen,Paquete,A2.1,beginner,12/06/20,,
547,Pfund,Das,Pfunde,Libra,A2.1,beginner,12/06/20,,
548,Portion,Die,Portionen,Porción,A2.1,beginner,12/06/20,,
549,Tüte,Die,Tüten,Bolsa,A2.1,beginner,12/06/20,,
550,Zettel,Der,Zettel,Nota,A2.1,beginner,12/06/20,,
551,Besuch,Der,Besuche,Visita,A2.1,beginner,12/06/20,,
552,Club,Der,Clubs,Club,A2.1,beginner,12/06/20,,
553,Ferien,Die,Ferien,Vacaciones / Receso,A2.1,beginner,12/06/20,,
554,Führung,Die,Führungen,Liderazgo,A2.1,beginner,12/06/20,,
555,Kamera,Die,Kameras,Cámara,A2.1,beginner,12/06/20,,
556,Mauer,Die,Mauern,Muro,A2.1,beginner,12/06/20,,
557,Prospekt,Der,Prospekte,Prospecto,A2.1,beginner,12/06/20,,
558,Reiseführer,Der,Reiseführer,Guía,A2.1,beginner,12/06/20,,
559,Rundgang,Der,Rundgänge,Vuelta / Ronda,A2.1,beginner,12/06/20,,
560,Sehenswürdigkeit,Die,Sehenwürdigkeiten,Curiosidad turística / Lugar digno de verse,A2.1,beginner,12/06/20,,
561,Tourist,Der,Touristen,Turista,A2.1,beginner,12/06/20,,
562,Trinkgeld,Das,Tringelder,Propina,A2.1,beginner,12/06/20,,
563,Unterkunft,Die,Unterkünfte,Hospedaje,A2.1,beginner,12/06/20,,
564,Nachricht,Die,Nachrichten,Mensaje / Noticia,A2.1,beginner,12/06/20,,
565,Postkarte,Die,Postkarten,Tarjeta Postal,A2.1,beginner,12/06/20,,
566,Supermarkt,Der,Supermärkte,Supermercado,A2.1,beginner,12/06/20,,
567,Bühne,Die,Bühnen,Escenario,A2.1,beginner,12/06/20,,
568,Diskussion,Die,Diskussionen,Discusión,A2.1,beginner,12/06/20,,
569,Eintritt,Der,Eintritt,Entrada,A2.1,beginner,12/06/20,,
570,Ermäßigung,Die,Ermäßigungen,Descuento,A2.1,beginner,12/06/20,,
571,Festival,Das,Festivals,Festival,A2.1,beginner,12/06/20,,
572,Karte,Die,Karten,Mapa,A2.1,beginner,12/06/20,,
573,Kostüm,Das,Kostüme,Disfraz,A2.1,beginner,12/06/20,,
574,Kunst,Die,Künste,Arte,A2.1,beginner,12/06/20,,
575,Künstler,Der,Kunstler,Artista,A2.1,beginner,12/06/20,,
576,Veranstaltung,Die,Veranstaltungen,Evento,A2.1,beginner,12/06/20,,
577,Vortrag,Der,Vorträge,Conferencia,A2.1,beginner,12/06/20,,
578,Vorschlag,Der,Vorschläge,Propuesta,A2.1,beginner,12/06/20,,
579,Feuer,Das,Feuer,Fuego,A2.1,beginner,12/06/20,,
580,Mal,Das,Mal,Vez,A2.1,beginner,12/06/20,,
581,Art,Die,Arten,Tipo / Clase,A2.1,beginner,12/06/20,,
582,Diët,Die,Diëten,Dieta,A2.1,beginner,12/06/20,,
583,Gesundheit,Die,Gesundheit,Salud,A2.1,beginner,12/06/20,,
584,Gewicht,Das,Gewichte,Peso,A2.1,beginner,12/06/20,,
585,Training,Das,Trainings,Entrenamiento,A2.1,beginner,12/06/20,,
586,Golf,Das,Golf,Golf,A2.1,beginner,12/06/20,,
587,Nudel,Die,Nudeln,Fideos,A2.1,beginner,12/06/20,,
588,Post,Die,Post,Correo,A2.1,beginner,12/06/20,,
589,Stelle,Die,Stellen,Puesto,A2.1,beginner,12/06/20,,
590,Verein,Der,Vereine,Sociedad / Asociación,A2.1,beginner,12/06/20,,
591,Krankenwagen,Der,Krankenwagen,Ambulancia,A2.1,beginner,12/06/20,,
592,Rettung,Die,Rettungen,Rescate,A2.1,beginner,12/06/20,,
593,Ambulanz,Die,Ambulanzen,Ambulancia,A2.1,beginner,12/06/20,,
594,Notarzt,Der,Notärzte,Médico de Guardia,A2.1,beginner,12/06/20,,
595,Notaufnahme,Die,Notaufnahmen,Sala de Emergencias,A2.1,beginner,12/06/20,,
596,Notfall,Der,Notfälle,Emergencia,A2.1,beginner,12/06/20,,
597,Unfall,Der,Unfälle,Accidente,A2.1,beginner,12/06/20,,
598,Verletzung,Die,Verletzungen,Lesión,A2.1,beginner,12/06/20,,
599,Herz,Das,Herzen,Corazón,A2.1,beginner,12/06/20,,
600,Krankheit,Die,Krankheiten,Enfermedad,A2.1,beginner,12/06/20,,
601,Magen,Der,Mägen,Estómago,A2.1,beginner,12/06/20,,
602,Operation,Die,Operationen,Operación,A2.1,beginner,12/06/20,,
603,Sprechstunde,Die,Sprechstunden,Consulta,A2.1,beginner,12/06/20,,
604,Untersuchung,Die,Untersuchungen,Investigación / Análisis,A2.1,beginner,12/06/20,,
605,Verband,Der,Verbände,Gremio / Asociación,A2.1,beginner,12/06/20,,
606,Sorge,Die,Sorgen,Preocupación / Solicitud,A2.1,beginner,12/06/20,,
607,Wahrheit,Die,Wahrheiten,Verdad,A2.1,beginner,12/06/20,,
608,Blut,Das,Blut,Sangre,A2.1,beginner,12/06/20,,
609,Grippe,Die,Grippe,Gripe,A2.1,beginner,12/06/20,,
610,Post,Die,Post,Correo,A2.2,beginner,12/06/20,,
611,Päckchen,Das,Päckchen,Paquete pequeño,A2.2,beginner,12/06/20,,
612,Paket,Das,Pakete,Paquete,A2.2,beginner,12/06/20,,
613,Absender,Der,Absender,Remitente,A2.2,beginner,12/06/20,,
614,Adresse,Die,Adressen,Dirección,A2.2,beginner,12/06/20,,
615,Empfänger,Der,Empfängers,Receptor,A2.2,beginner,12/06/20,,
616,Unterschrift,Die,Unterschriften,Firma,A2.2,beginner,12/06/20,,
617,Briefumschlag,Der,Briefumschläge,Envoltura,A2.2,beginner,12/06/20,,
618,Schalter,Der,Schalter,Boleteria / Mostrador,A2.2,beginner,12/06/20,,
619,Briefkasten,Der,Briefkästen,Buzón,A2.2,beginner,12/06/20,,
620,Postkarte,Die,Postkarten,Postal,A2.2,beginner,12/06/20,,
621,Brief,Der,Briefs,Carta / Document,A2.2,beginner,12/06/20,,
622,Karton,Der,Kartons,Caja de cartón,A2.2,beginner,12/06/20,,
623,Creme,Die,Cremes,Crema,A2.2,beginner,12/06/20,,
624,Gesicht,Das,Gesichter,Cara,A2.2,beginner,12/06/20,,
625,Junge,Der,Jungern,Joven / Chico,A2.2,beginner,12/06/20,,
626,Mädchen,Das,Mädchen,Niña,A2.2,beginner,12/06/20,,
627,Projekt,Das,Projekte,Proyecto / Plan,A2.2,beginner,12/06/20,,
628,Schritt,Der,Schritte,Gestión / Trámite,A2.2,beginner,12/06/20,,
629,Tafel,Die,Tafeln,Tablero / Pizarra,A2.2,beginner,12/06/20,,
630,Zentimeter,Der,Zentimeter,Centimetro,A2.2,beginner,12/06/20,,
631,Medien,Die,Medien,Medios (comunicación),A2.2,beginner,12/06/20,,
632,DVD,Die,DVDs,DVD,A2.2,beginner,12/06/20,,
633,Fernsehen,Das,Fernsehen,Televisor,A2.2,beginner,12/06/20,,
634,Folge,Die,Folgen,Episodio,A2.2,beginner,12/06/20,,
635,Krimi,Der,Krimis,Novela Policial,A2.2,beginner,12/06/20,,
636,Programm,Das,Programme,Programa,A2.2,beginner,12/06/20,,
637,Rundfunk,Der,Rundfunk,Radio,A2.2,beginner,12/06/20,,
638,Sender,Der,Sender,Emisor,A2.2,beginner,12/06/20,,
639,Sendung,Die,Sendungen,Espectaculo / Programación,A2.2,beginner,12/06/20,,
640,Serie,Die,Serien,Serie,A2.2,beginner,12/06/20,,
641,Spielfilm,Der,Spielfilme,Película / Largometraje,A2.2,beginner,12/06/20,,
642,Video,Das,Videos,Video,A2.2,beginner,12/06/20,,
643,Zuschauer,Der,Zuschauer,Espectador,A2.2,beginner,12/06/20,,
644,Anzug,Der,Anzüge,Traje,A2.2,beginner,12/06/20,,
645,Fahrplan,Der,Fahrpläne,Calendario,A2.2,beginner,12/06/20,,
646,Gaststätte,Die,Gaststätten,Restaurante,A2.2,beginner,12/06/20,,
647,Gegend,Die,Gegenden,Área,A2.2,beginner,12/06/20,,
648,Kinderwagen,Der,Kinderwagen,Cochecito,A2.2,beginner,12/06/20,,
649,Parfüm,Das,Parfüme,Perfume,A2.2,beginner,12/06/20,,
650,Rose,Die,Rosen,Rosa,A2.2,beginner,12/06/20,,
651,Topf,Der,Töpfe,Olla,A2.2,beginner,12/06/20,,
652,Mediathek,Die,Medienbibliothek,Biblioteca Multimedia,A2.2,beginner,12/06/20,,
653,Dasrteller,Der,Dasrteller,Actor / Interprete,A2.2,beginner,12/06/20,,
654,Regisseur,Der,Regisseure,Director,A2.2,beginner,12/06/20,,
655,Fernbedienung,Die,Fernbedienungen,Control Remoto,A2.2,beginner,12/06/20,,
656,Aufenthalt,Der,Aufenthalte,Estancia,A2.2,beginner,12/06/20,,
657,Doppelzimmer,Das,Doppelzimmer,Habitación Doble,A2.2,beginner,12/06/20,,
658,Einzelzimmer,Das,Einzelzimmer,Habitación Simple,A2.2,beginner,12/06/20,,
659,Empfangshalle,Die,Empfangshallen,Vestibulo,A2.2,beginner,12/06/20,,
660,Fitnessraum,Der,Fitnessräume,Gimnasio,A2.2,beginner,12/06/20,,
661,Frühstuckraum,Der,Frühstuckräume,Sala para desayunos,A2.2,beginner,12/06/20,,
662,Halbpension,Die,Halbpension,Media pensión,A2.2,beginner,12/06/20,,
663,Kiosk,Der,Kioske,Kiosco,A2.2,beginner,12/06/20,,
664,Konferenz,Die,Konferenzen,Conferencia,A2.2,beginner,12/06/20,,
665,Konferenzraum,Der,Konferenzräume,Sala de Conferencia,A2.2,beginner,12/06/20,,
666,Nichtraucherzimmer,Das,Nichtraucherzimmer,Habitación para no fumadores,A2.2,beginner,12/06/20,,
667,Parkplatz,Der,Parkplätze,Estacionamiento,A2.2,beginner,12/06/20,,
668,Rezeption,Die,Rezeptionen,Recepción,A2.2,beginner,12/06/20,,
669,Vollpension,Die,Vollpension,Pensión completa,A2.2,beginner,12/06/20,,
670,Ärger,Der,Ärger,Enojo / fastidio,A2.2,beginner,12/06/20,,
671,Raucher,Der,Raucher,Fumador,A2.2,beginner,12/06/20,,
672,Spaß,Der,Späße,Diversión,A2.2,beginner,12/06/20,,
673,Sauna,Die,Saunen,Sauna,A2.2,beginner,12/06/20,,
674,Schwimmbad,Das,Schwimmbäder,Pileta,A2.2,beginner,12/06/20,,
675,Abfahrt,Die,Abfahrten,Salida,A2.2,beginner,12/06/20,,
676,Ankunft,Die,Ankünfte,Llegada,A2.2,beginner,12/06/20,,
677,Autobahn,Die,Autobahnen,Carretera,A2.2,beginner,12/06/20,,
678,Fähre,Die,Fähren,Transbordador,A2.2,beginner,12/06/20,,
679,Gebirge,Das,Gebirge,Montaña,A2.2,beginner,12/06/20,,
680,Grenze,Die,Grenzen,Frontera,A2.2,beginner,12/06/20,,
681,Insel,Die,Inseln,Isla,A2.2,beginner,12/06/20,,
682,Kfz (Kraftfahrzeug),Das,Kraftfahrzeuge,Vehiculo,A2.2,beginner,12/06/20,,
683,Küste,Die,Küsten,Costa,A2.2,beginner,12/06/20,,
684,Motor,Der,Motoren,Motor,A2.2,beginner,12/06/20,,
685,Panne,Die,Pannen,Pinchazo / averia,A2.2,beginner,12/06/20,,
686,Region,Die,Regionen,Región,A2.2,beginner,12/06/20,,
687,Reifen,Der,Reifen,Neumático,A2.2,beginner,12/06/20,,
688,Transtelle,Die,Transtellen,Oficina de transporte,A2.2,beginner,12/06/20,,
689,Bauer,Der,Bauern,Granjero / Aldeano,A2.2,beginner,12/06/20,,
690,Feld,Das,Felder,Campo,A2.2,beginner,12/06/20,,
691,Kassette,Die,Kassetten,Casete,A2.2,beginner,12/06/20,,
692,Pech,Das,Pech,Mala suerte,A2.2,beginner,12/06/20,,
693,Seite,Die,Seiten,Página,A2.2,beginner,12/06/20,,
694,Zufall,Der,Zufälle,Accidente,A2.2,beginner,12/06/20,,
695,Wagen,Der,Wägen,Coche,A2.2,beginner,12/06/20,,
696,Motorrad,Das,Motorräder,Moto,A2.2,beginner,12/06/20,,
697,Schiff,Das,Schiffe,Barco,A2.2,beginner,12/06/20,,
698,Wetter,Das,Wetter,Clima,A2.2,beginner,12/06/20,,
699,Eis,Das,Eis,Hielo,A2.2,beginner,12/06/20,,
700,Gebiet,Das,Gebiete,Territorio,A2.2,beginner,12/06/20,,
701,Hauptstadt,Die,Hauptstädte,Capital,A2.2,beginner,12/06/20,,
702,Hitze,Die,Hitze,Calor,A2.2,beginner,12/06/20,,
703,Jahreszeit,Die,Jahreszeiten,Temporada,A2.2,beginner,12/06/20,,
704,Kälte,Die,Kälte,Frio,A2.2,beginner,12/06/20,,
705,Kontinent,Der,Kontinente,Continente,A2.2,beginner,12/06/20,,
706,Temperatur,Die,Temperaturen,Temperatura,A2.2,beginner,12/06/20,,
707,Trockenheit,Die,Trockenheit,Sequia,A2.2,beginner,12/06/20,,
708,Tropfen,Der,Tropfen,Gota,A2.2,beginner,12/06/20,,
709,Regentropfen,Der,Regentropfen,Gota de lluvia,A2.2,beginner,12/06/20,,
710,Wärme,Die,Wärme,Calor,A2.2,beginner,12/06/20,,
711,Gegenteil,Das,Gegenteile,Contrariamente,A2.2,beginner,12/06/20,,
712,Hoch,Das,Hochs,Alto,A2.2,beginner,12/06/20,,
713,Tief,Das,Tiefs,Bajo,A2.2,beginner,12/06/20,,
714,Niederschlag,Der,Niederschläge,Precipitación,A2.2,beginner,12/06/20,,
715,Frost,Der,Fröste,Helada,A2.2,beginner,12/06/20,,
716,Kälte,Die,Kälte,Frio,A2.2,beginner,12/06/20,,
717,Schauer,Der,Schauer,Aguacero / Chaparrón,A2.2,beginner,12/06/20,,
718,Hagel,Der,Hagel,Granizo,A2.2,beginner,12/06/20,,
719,Beginn,Der,Beginn,Principio / Apertura,A2.2,beginner,12/06/20,,
720,Club,Der,Clubs,Club,A2.2,beginner,12/06/20,,
721,Publikum,Das,Publikum,Público / Audiencia,A2.2,beginner,12/06/20,,
